variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1831,1680927321,2482710554,true,false,769.4333333332909,790.4333333332909,9,8,7,180,23,7,3,5,44,38,6,5,6,0,0.13636363636363635,0.8636363636363636,20,2.5,167.7333333333248,0.21799592773902965,1,1,0,6,3,30,7,3,35,7,3,37,82.29999999992515,0.1069618333837842,5,8,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1832,4067165613,842368913,true,false,806.1999999999241,827.1999999999241,9,8,7,180,24,8,3,6,40,39,1,6,1,0,0.025,0.975,19,2.375,167.7333333333248,0.20805424625817487,1,1,0,6,3,28,7,3,38,7,3,38,113.43333333323017,0.14070123211763935,5,11,1,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1833,3420529124,1560775059,true,false,818.2999999999131,839.2999999999131,9,8,7,180,27,9,3,13,54,49,5,13,5,0,0.09259259259259259,0.9074074074074074,23,2.875,167.7333333333248,0.20497779950304607,1,1,0,7,3,36,8,3,48,8,3,48,116.83333333322707,0.1427756731433942,6,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1834,1721801407,1187387023,false,false,850.96666666655,871.96666666655,9,8,7,179,24,7,3,6,49,39,10,6,10,0,0.20408163265306123,0.7959183673469388,22,2.75,167.7333333333248,0.19710916996358782,1,0,1,7,3,35,7,3,39,0,0,0,0,0,3,5,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1835,2302839054,2232913965,false,false,793.5666666666023,814.5666666666023,9,8,7,179,26,8,3,18,64,54,10,18,10,0,0.15625,0.84375,24,3,167.7333333333248,0.21136640483891933,1,0,1,7,3,39,8,3,53,0,0,0,0,0,4,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1836,3740167920,1907623642,true,false,775.166666666619,796.166666666619,9,8,7,180,26,8,3,8,47,42,5,8,5,0,0.10638297872340426,0.8936170212765957,22,2.75,167.7333333333248,0.21638357342507217,1,1,0,6,3,38,7,3,41,7,3,41,80.39999999992688,0.10371963018696859,5,9,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1837,1032211054,3977005967,true,false,805.9999999999243,826.9999999999243,9,8,7,180,27,8,3,27,69,63,6,27,6,0,0.08695652173913043,0.9130434782608695,22,2.75,167.7333333333248,0.2081058726220106,1,1,0,6,3,51,8,3,61,8,3,63,97.63333333324454,0.12113316790726267,4,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1838,2659203569,472633340,true,false,743.8999999999808,764.8999999999808,9,8,7,180,22,7,3,8,43,40,3,8,3,0,0.06976744186046512,0.9302325581395349,18,2.25,167.7333333333248,0.22547833490163885,1,1,0,5,3,27,7,3,39,7,3,39,52.23333333328583,0.070215530761241,5,10,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1839,4233038611,3564146528,true,false,805.4333333332581,826.4333333332581,9,8,7,180,23,7,3,4,46,35,11,4,11,0,0.2391304347826087,0.7608695652173914,18,2.25,167.7333333333248,0.2082522865538308,1,1,0,5,3,28,6,3,32,6,3,33,129.3333333332157,0.16057608740623405,5,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1840,936013805,808564727,true,false,833.466666666566,854.466666666566,9,8,7,180,27,8,3,9,49,45,4,9,4,0,0.08163265306122448,0.9183673469387755,22,2.75,167.7333333333248,0.20124780035195775,1,1,0,6,3,36,8,3,44,8,3,44,140.86666666653855,0.16901295792659843,5,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1841,1203836687,2353541393,true,false,772.3666666666215,793.3666666666215,9,8,7,180,20,6,3,15,47,45,2,15,2,0,0.0425531914893617,0.9574468085106383,18,2.25,167.7333333333248,0.2171680117388131,1,1,0,5,2,36,5,2,43,5,2,43,79.99999999992724,0.10357774804703973,5,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1842,1688331557,3070015235,true,false,788.5333333332735,809.5333333332735,9,8,7,180,26,8,3,7,44,42,2,7,2,0,0.045454545454545456,0.9545454545454546,21,2.625,167.7333333333248,0.21271559012513214,1,1,0,6,3,33,7,3,41,7,3,41,93.8999999999146,0.11908183970230181,5,14,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1843,1516743685,2467567603,true,false,782.1666666666126,803.1666666666126,9,8,7,180,25,8,3,17,59,51,8,17,8,0,0.13559322033898305,0.864406779661017,21,2.625,167.7333333333248,0.21444704879608317,1,1,0,6,3,40,7,3,50,7,3,50,105.16666666657102,0.13445557212858933,5,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1844,3115791364,3080891107,true,false,808.9999999999216,829.9999999999216,9,8,7,180,26,8,3,17,59,51,8,17,8,0,0.13559322033898305,0.864406779661017,21,2.625,167.7333333333248,0.20733415739597164,1,1,0,6,3,42,8,3,50,8,3,51,112.26666666656456,0.13877214668303517,5,7,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1845,336355738,2183740156,true,false,829.8666666665692,850.8666666665692,9,8,7,180,26,8,3,6,49,42,7,6,7,0,0.14285714285714285,0.8571428571428571,22,2.75,167.7333333333248,0.20212082262212142,1,1,0,7,3,30,8,3,40,8,3,41,145.06666666653473,0.17480719794330626,4,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1846,98375704,4216929370,true,false,802.2666666665943,823.2666666665943,9,8,7,180,25,7,3,25,67,60,7,25,7,0,0.1044776119402985,0.8955223880597015,22,2.75,167.7333333333248,0.20907428951305457,1,1,0,6,3,49,7,3,59,7,3,59,111.49999999989859,0.13898121987690126,6,8,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1847,3911242357,3051560062,false,false,861.4333333332072,882.4333333332072,9,8,7,179,21,6,3,9,45,40,5,9,5,0,0.1111111111111111,0.8888888888888888,17,2.125,167.7333333333248,0.19471423596333554,1,0,1,5,3,26,6,3,40,0,0,0,0,0,5,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1848,3753076807,2332443456,false,false,764.5666666666286,785.5666666666286,9,8,7,179,17,4,2,14,48,41,7,14,7,0,0.14583333333333334,0.8541666666666666,17,2.125,167.7333333333248,0.21938352879626777,1,0,1,4,2,33,4,2,41,0,0,0,0,0,3,4,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1849,1914472668,3073214855,true,false,768.7333333332915,789.7333333332915,9,8,7,180,19,5,3,8,43,37,6,8,6,0,0.13953488372093023,0.8604651162790697,18,2.25,167.7333333333248,0.2181944323996192,1,1,0,5,3,30,5,3,36,5,3,36,96.79999999991196,0.1259214291907691,2,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1850,3506584565,456520286,false,false,853.6999999998809,874.6999999998809,9,8,7,179,23,7,3,16,58,48,10,16,10,0,0.1724137931034483,0.8275862068965517,21,2.625,167.7333333333248,0.1964780758268106,1,0,1,6,3,38,7,3,48,0,0,0,0,0,4,7,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1851,57595965,3553974342,true,false,851.2999999998831,872.2999999998831,9,8,7,180,27,8,3,11,52,48,4,11,4,0,0.07692307692307693,0.9230769230769231,21,2.625,167.7333333333248,0.1970319902893784,1,1,0,6,3,35,8,3,46,8,3,47,168.49999999984675,0.1979325737106424,4,7,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1852,3087864956,2793826468,true,false,760.4333333332991,781.4333333332991,9,8,7,180,21,6,3,5,45,36,9,5,9,0,0.2,0.8,18,2.25,167.7333333333248,0.22057598737561787,1,1,0,5,3,28,6,3,35,6,3,35,66.93333333327246,0.08801998860291343,5,13,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1853,3743077935,2455343161,true,false,794.5999999999347,815.5999999999347,9,8,7,180,21,6,3,11,46,41,5,11,5,0,0.10869565217391304,0.8913043478260869,19,2.375,167.7333333333248,0.21109153452471507,1,1,0,5,3,37,6,3,40,6,3,41,92.39999999991596,0.11628492323171855,4,13,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1854,1540921294,2548109878,true,false,784.7999999999436,805.7999999999436,9,8,7,180,24,8,3,3,40,36,4,3,4,0,0.1,0.9,21,2.625,167.7333333333248,0.21372748895685123,1,1,0,7,3,29,7,3,35,7,3,35,111.5999999998985,0.1422018348622662,2,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1855,19280196,2774477500,false,false,801.4999999999284,822.4999999999284,9,8,7,179,31,10,3,5,53,45,8,5,8,0,0.1509433962264151,0.8490566037735849,26,3.25,167.7333333333248,0.20927427739655619,1,0,1,8,3,38,10,3,44,0,0,0,0,0,6,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1856,2171280073,1061853348,true,false,831.8333333332341,852.8333333332341,9,8,7,180,20,6,3,5,44,35,9,5,9,0,0.20454545454545456,0.7954545454545454,17,2.125,167.7333333333248,0.2016429573231955,1,1,0,5,3,29,6,3,34,6,3,34,142.3999999998705,0.17118813864943394,5,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1857,626778958,2879787608,true,false,819.166666666579,840.166666666579,9,8,7,180,21,6,3,12,50,43,7,12,7,0,0.14,0.86,18,2.25,167.7333333333248,0.20476093591048963,1,1,0,5,3,33,6,3,39,6,3,41,125.06666666655292,0.1526754832145265,4,5,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1858,1145348893,3457901123,true,false,861.6999999998736,882.6999999998736,9,8,7,180,22,6,2,21,61,53,8,21,8,0,0.13114754098360656,0.8688524590163934,19,2.375,167.7333333333248,0.19465397856951305,1,1,0,5,2,41,5,2,49,6,2,52,160.76666666652045,0.18656918494434727,5,10,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1859,605675832,280720741,true,false,765.9999999999607,786.9999999999607,9,8,7,180,23,7,3,16,52,49,3,16,3,0,0.057692307692307696,0.9423076923076923,21,2.625,167.7333333333248,0.21897302001740654,1,1,0,6,3,39,7,3,48,7,3,48,97.03333333324508,0.12667536988674943,3,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1860,1889428623,4205402796,false,false,844.9999999998888,865.9999999998888,9,8,7,179,22,6,3,12,49,44,5,12,5,0,0.10204081632653061,0.8979591836734694,19,2.375,167.7333333333248,0.1985009861933099,1,0,1,5,3,34,6,3,41,0,0,0,0,0,6,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1861,2261733733,962236815,true,false,764.5333333332953,785.5333333332953,9,8,7,180,27,7,3,21,59,58,1,21,1,0,0.01694915254237288,0.9830508474576272,22,2.75,167.7333333333248,0.219393093826299,1,1,0,6,3,45,7,3,56,7,3,57,77.3666666665963,0.10119462853147909,4,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1862,748600116,3292689872,false,false,797.4666666665987,818.4666666665987,9,8,7,179,27,8,3,19,62,56,6,19,6,0,0.0967741935483871,0.9032258064516129,27,3.375,167.7333333333248,0.2103327202808967,1,0,1,8,3,47,8,3,55,0,0,0,0,0,5,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1863,1476159003,2549667738,true,false,818.4999999999129,839.4999999999129,9,8,7,180,30,10,3,18,61,57,4,18,4,0,0.06557377049180328,0.9344262295081968,28,3.5,167.7333333333248,0.2049277132966923,1,1,0,9,3,46,9,3,54,9,3,56,130.59999999988122,0.15956017104446563,7,9,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1864,2865287922,1200022779,true,false,789.3666666666061,810.3666666666061,9,8,7,180,29,9,3,16,59,55,4,16,4,0,0.06779661016949153,0.9322033898305084,26,3.25,167.7333333333248,0.2124910265613838,1,1,0,8,3,46,9,3,54,9,3,55,81.6999999999257,0.10350069676103031,6,6,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1865,2321873103,1887158405,true,false,827.4666666665714,848.4666666665714,9,8,7,180,23,7,3,11,53,44,9,11,9,0,0.16981132075471697,0.8301886792452831,20,2.5,167.7333333333248,0.20270705768612324,1,1,0,6,3,35,7,3,43,7,3,43,154.6999999998593,0.18695617144683827,2,4,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1866,518430146,844632601,true,false,761.4666666666315,782.4666666666315,9,8,7,180,24,7,3,7,45,41,4,7,4,0,0.08888888888888889,0.9111111111111111,21,2.625,167.7333333333248,0.22027665907896937,1,1,0,6,3,31,7,3,39,7,3,40,78.83333333326163,0.1035282787601978,5,9,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1867,117694942,2763412574,true,false,809.0333333332549,830.0333333332549,9,8,7,180,26,7,3,15,57,51,6,15,6,0,0.10526315789473684,0.8947368421052632,20,2.5,167.7333333333248,0.20732561493140916,1,1,0,5,3,37,7,3,50,7,3,50,118.66666666655874,0.14667710436311265,5,13,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1868,4767851,3928712672,true,false,790.7666666666048,811.7666666666048,9,8,7,180,23,8,3,7,43,39,4,7,4,0,0.09302325581395349,0.9069767441860465,16,2,167.7333333333248,0.21211482527505532,1,1,0,5,3,24,6,3,32,6,3,35,118.73333333322535,0.1501496438054647,2,7,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1869,2919797180,910739264,true,false,810.0999999999206,831.0999999999206,9,8,7,180,25,8,3,6,45,41,4,6,4,0,0.08888888888888889,0.9111111111111111,21,2.625,167.7333333333248,0.20705262724767465,1,1,0,7,3,31,8,3,39,8,3,39,135.29999999987695,0.16701641772607112,3,7,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1870,1264435784,4086449451,false,false,868.6999999998673,889.6999999998673,9,8,7,179,27,8,3,12,54,48,6,12,6,0,0.1111111111111111,0.8888888888888888,23,2.875,167.7333333333248,0.19308545335944563,1,0,1,7,3,39,8,3,47,0,0,0,0,0,5,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1871,1957913990,4059227653,true,false,792.5333333332699,813.5333333332699,9,8,7,180,21,6,3,4,42,35,7,4,7,0,0.16666666666666666,0.8333333333333334,20,2.5,167.7333333333248,0.21164199192463606,1,1,0,6,3,31,6,3,35,6,3,35,85.56666666658884,0.1079660161506507,5,13,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1872,230146081,2925463996,false,false,779.6666666666149,800.6666666666149,9,8,7,179,22,7,3,2,38,34,4,2,4,0,0.10526315789473684,0.8947368421052632,17,2.125,167.7333333333248,0.21513467293715596,1,0,1,5,3,24,7,3,34,0,0,0,0,0,5,14,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1873,578133989,1656948009,true,false,799.7333333332633,820.7333333332633,9,8,7,180,22,7,3,9,44,40,4,9,4,0,0.09090909090909091,0.9090909090909091,20,2.5,167.7333333333248,0.20973657885962757,1,1,0,6,3,33,6,3,39,6,3,39,107.49999999990223,0.13441980660209024,5,7,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1874,4155257858,1287167311,false,false,767.2666666666262,788.2666666666262,9,8,7,179,27,8,3,23,67,60,7,23,7,0,0.1044776119402985,0.8955223880597015,26,3.25,167.7333333333248,0.2186115214180211,1,0,1,8,3,48,8,3,60,0,0,0,0,0,2,4,3,0
