variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,306,1833435338,4254822554,false,false,766.4333333332936,784.4333333332936,9,7,6,179,24,7,3,6,42,38,4,6,4,0,0.09523809523809523,0.9047619047619048,18,2.25,159.73333333332567,0.2084112555995311,1,0,1,5,3,29,7,3,38,0,0,0,0,0,6,9,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,307,2796015737,1615521315,false,false,799.8999999999298,814.8999999999298,9,6,5,179,23,7,3,7,45,40,5,7,5,0,0.1111111111111111,0.8888888888888888,19,2.375,159.73333333332567,0.19969162812018962,1,0,1,6,3,29,7,3,37,0,0,0,0,0,6,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,308,824124786,3906185052,false,false,806.9999999999234,824.9999999999234,9,7,6,179,17,5,3,1,31,27,4,1,4,0,0.12903225806451613,0.8709677419354839,11,1.375,159.73333333332567,0.1979347377116987,1,0,1,3,2,20,4,2,25,0,0,0,0,0,4,4,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,309,2295963228,3416283535,false,false,818.8999999999126,836.8999999999126,9,7,6,179,24,7,3,5,46,38,8,5,8,0,0.17391304347826086,0.8260869565217391,17,2.125,159.73333333332567,0.19505841169049057,1,0,1,5,3,28,7,3,38,0,0,0,0,0,7,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,310,1486235073,3256448383,false,false,798.266666666598,813.266666666598,9,6,5,179,15,4,3,0,30,25,5,0,5,0,0.16666666666666666,0.8333333333333334,12,1.5,159.73333333332567,0.20010021713713808,1,0,1,3,2,21,4,3,24,0,0,0,0,0,6,5,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,311,3493194011,3923848151,false,false,791.6333333332707,806.6333333332707,9,6,5,179,22,7,3,3,41,35,6,3,6,0,0.14634146341463414,0.8536585365853658,18,2.25,159.73333333332567,0.2017769169228241,1,0,1,6,3,26,7,3,34,0,0,0,0,0,7,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,312,1366832333,3380168905,false,false,772.4333333332881,790.4333333332881,9,7,6,179,17,5,3,9,42,36,6,9,6,0,0.14285714285714285,0.8571428571428571,15,1.875,159.73333333332567,0.20679238769257544,1,0,1,4,3,27,5,3,34,0,0,0,0,0,6,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,313,3914825078,2826504471,false,false,789.1666666666063,804.1666666666063,9,6,5,179,26,7,3,12,54,47,7,12,7,0,0.12962962962962962,0.8703703703703703,21,2.625,159.73333333332567,0.20240760295671117,1,0,1,6,3,38,7,3,46,0,0,0,0,0,6,12,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,314,3954032933,3453753262,false,false,813.999999999917,828.999999999917,9,6,5,179,13,3,3,0,27,23,4,0,4,0,0.14814814814814814,0.8518518518518519,13,1.625,159.73333333332567,0.19623259623260683,1,0,1,3,3,22,3,3,23,0,0,0,0,0,5,10,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,315,2367780143,2842809020,false,false,753.0333333333058,771.0333333333058,9,7,6,179,21,6,3,1,38,32,6,1,6,0,0.15789473684210525,0.8421052631578947,17,2.125,159.73333333332567,0.21211987074498453,1,0,1,5,3,24,6,3,30,0,0,0,0,0,4,5,2,0
